web-scraper-order,web-scraper-start-url,CLICKER,PLAYER,TEAM,AGE,POSITION,GAMES_PLAYED,GAMES,FREQ_PCT,DFGM,DFGA,DFG_PCT,FG_PCT,DIFF_PCT
"1723585816-1","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","DeAndre Jordan","LAC","25","C","82","82","100","626","1375","45.5","47.9","-2.4"
"1723585816-2","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Robin Lopez","POR","26","C","82","82","100","571","1315","43.4","47.8","-4.4"
"1723585816-3","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Spencer Hawes","CLE","26","C","80","80","100","587","1285","45.7","47.3","-1.6"
"1723585816-4","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Serge Ibaka","OKC","24","F-C","81","81","100","564","1270","44.4","47.1","-2.7"
"1723585816-5","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Joakim Noah","CHI","29","C","80","80","100","529","1246","42.5","47.0","-4.6"
"1723585816-6","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Marcin Gortat","WAS","30","C","80","80","100","575","1223","47.0","47.3","-0.3"
"1723585816-7","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Kevin Love","MIN","25","F-C","77","77","100","586","1169","50.1","47.3","2.8"
"1723585816-8","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Roy Hibbert","IND","27","C","81","81","100","474","1134","41.8","47.7","-5.9"
"1723585816-9","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Paul Millsap","ATL","29","F","73","73","100","513","1094","46.9","46.3","0.6"
"1723585816-10","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Andre Drummond","DET","20","C","81","81","100","520","1066","48.8","47.2","1.6"
"1723585816-11","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Josh Smith","DET","28","F","77","77","100","476","1059","44.9","46.0","-1.1"
"1723585816-12","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Chris Bosh","MIA","30","C-F","79","79","100","486","1052","46.2","46.9","-0.7"
"1723585816-13","https://www.nba.com/stats/players/defense-dash-overall?SeasonType=Regular+Season&PerMode=Totals&Season=2013-14","","Thaddeus Young","PHI","26","F","79","79","100","522","1044","50.0","45.7","4.3"
