web-scraper-order,web-scraper-start-url,click,Player,Team,Age,GAMES_PLAYED,Min,Deflections,DEF_Loose_Balls_Recovered,Contested_2PT_Shots,Contested_3PT_Shots,Contested_Shots
"1723589062-1","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Aaron Brooks","CHI","31","69","1108","0","0","1","0","1"
"1723589062-2","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Aaron Gordon","ORL","20","78","1863","0","0","2","0","2"
"1723589062-3","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Aaron Harrison","CHA","21","21","93","0","0","0","0","0"
"1723589062-4","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Adreian Payne","MIN","25","52","486","0","0","0","0","0"
"1723589062-5","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Al Horford","ATL","30","82","2631","3","0","22","3","25"
"1723589062-6","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Al Jefferson","CHA","31","47","1096","0","0","0","0","0"
"1723589062-7","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Al-Farouq Aminu","POR","25","82","2341","0","0","0","0","0"
"1723589062-8","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alan Anderson","WAS","33","13","192","0","0","0","0","0"
"1723589062-9","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alan Williams","PHX","23","10","68","0","0","0","0","0"
"1723589062-10","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alec Burks","UTA","24","31","797","0","0","0","0","0"
"1723589062-11","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alex Len","PHX","23","78","1821","0","0","0","0","0"
"1723589062-12","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alex Stepheson","MEM","28","8","72","0","0","0","0","0"
"1723589062-13","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alexis Ajinca","NOP","28","59","861","1","0","5","2","7"
"1723589062-14","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Allen Crabbe","POR","24","81","2105","0","0","0","0","0"
"1723589062-15","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Alonzo Gee","NOP","29","73","1632","3","0","2","0","2"
"1723589062-16","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Amar'e Stoudemire","MIA","33","52","762","0","0","0","0","0"
"1723589062-17","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Amir Johnson","BOS","29","79","1800","0","0","0","0","0"
"1723589062-18","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Anderson Varejao","GSW","33","53","496","0","0","0","0","0"
"1723589062-19","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andre Drummond","DET","22","81","2666","0","0","0","0","0"
"1723589062-20","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andre Iguodala","GSW","32","65","1732","3","0","3","0","3"
"1723589062-21","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andre Miller","SAS","40","39","461","0","0","0","0","0"
"1723589062-22","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andre Roberson","OKC","24","70","1553","0","0","0","0","0"
"1723589062-23","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andrea Bargnani","BKN","30","46","634","0","0","0","0","0"
"1723589062-24","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andrew Bogut","GSW","31","70","1451","1","0","16","2","18"
"1723589062-25","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andrew Goudelock","HOU","27","8","50","0","0","0","0","0"
"1723589062-26","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andrew Nicholson","ORL","26","56","823","0","0","0","0","0"
"1723589062-27","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Andrew Wiggins","MIN","21","81","2845","8","0","4","8","12"
"1723589062-28","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Anthony Bennett","TOR","23","19","84","0","0","0","0","0"
"1723589062-29","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Anthony Brown","LAL","23","29","599","0","0","0","0","0"
"1723589062-30","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Anthony Davis","NOP","23","61","2164","1","0","9","6","15"
"1723589062-31","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Anthony Morrow","OKC","30","68","926","0","0","0","0","0"
"1723589062-32","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Anthony Tolliver","DET","31","72","1341","0","0","0","0","0"
"1723589062-33","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Archie Goodwin","PHX","21","57","1114","0","0","0","0","0"
"1723589062-34","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Aron Baynes","DET","29","81","1233","0","0","0","0","0"
"1723589062-35","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Arron Afflalo","NYK","30","71","2371","0","0","3","6","9"
"1723589062-36","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Austin Rivers","LAC","23","67","1464","0","0","0","0","0"
"1723589062-37","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Avery Bradley","BOS","25","76","2536","0","0","0","0","0"
"1723589062-38","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Axel Toupane","DEN","23","21","305","0","0","0","0","0"
"1723589062-39","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Ben McLemore","SAC","23","68","1443","0","0","0","0","0"
"1723589062-40","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Beno Udrih","MEM","33","44","708","1","0","6","2","8"
"1723589062-41","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bismack Biyombo","TOR","23","82","1808","0","0","0","0","0"
"1723589062-42","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Blake Griffin","LAC","27","35","1170","0","0","0","0","0"
"1723589062-43","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Boban Marjanovic","SAS","27","54","508","0","0","0","0","0"
"1723589062-44","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bobby Portis","CHI","21","62","1102","0","0","2","3","5"
"1723589062-45","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bojan Bogdanovic","BKN","27","79","2115","0","0","0","0","0"
"1723589062-46","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Boris Diaw","SAS","34","76","1386","3","0","4","0","4"
"1723589062-47","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bradley Beal","WAS","23","55","1708","0","0","0","0","0"
"1723589062-48","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brandan Wright","MEM","28","12","212","0","0","0","0","0"
"1723589062-49","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Branden Dawson","LAC","23","6","29","0","0","0","0","0"
"1723589062-50","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brandon Bass","LAL","31","66","1342","0","0","0","0","0"
"1723589062-51","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brandon Jennings","ORL","26","48","868","0","0","0","0","0"
"1723589062-52","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brandon Knight","PHX","24","52","1870","0","0","0","0","0"
"1723589062-53","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brandon Rush","GSW","30","72","1055","0","0","2","0","2"
"1723589062-54","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brian Roberts","POR","30","51","470","0","0","0","0","0"
"1723589062-55","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Briante Weber","MIA","23","7","169","0","0","0","0","0"
"1723589062-56","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Brook Lopez","BKN","28","73","2457","0","0","0","0","0"
"1723589062-57","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bruno Caboclo","TOR","20","6","43","0","0","0","0","0"
"1723589062-58","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bryce Cotton","MEM","23","8","39","0","0","0","0","0"
"1723589062-59","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Bryce Dejean-Jones","NOP","23","14","279","0","0","0","0","0"
"1723589062-60","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","C.J. Watson","ORL","32","33","656","0","0","0","0","0"
"1723589062-61","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","C.J. Wilcox","LAC","25","23","167","0","0","0","0","0"
"1723589062-62","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","CJ McCollum","POR","24","80","2780","0","0","0","0","0"
"1723589062-63","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","CJ Miles","IND","29","64","1464","0","0","0","0","0"
"1723589062-64","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cameron Bairstow","DET","25","18","103","0","0","0","0","0"
"1723589062-65","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cameron Payne","OKC","21","57","698","0","0","0","0","0"
"1723589062-66","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Carl Landry","PHI","32","36","569","0","0","3","1","4"
"1723589062-67","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Carmelo Anthony","NYK","32","72","2530","2","0","1","1","2"
"1723589062-68","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Caron Butler","SAC","36","17","176","0","0","0","0","0"
"1723589062-69","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chandler Parsons","DAL","27","61","1799","5","0","6","2","8"
"1723589062-70","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Channing Frye","CLE","33","70","1199","1","0","7","0","7"
"1723589062-71","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Charlie Villanueva","DAL","31","62","665","0","0","0","0","0"
"1723589062-72","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chase Budinger","PHX","28","66","930","0","0","0","0","0"
"1723589062-73","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris Andersen","MEM","37","27","403","0","0","0","0","0"
"1723589062-74","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris Bosh","MIA","32","53","1778","0","0","8","2","10"
"1723589062-75","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris Copeland","MIL","32","24","156","0","0","0","0","0"
"1723589062-76","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris Johnson","UTA","26","70","857","0","0","0","0","0"
"1723589062-77","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris Kaman","POR","34","16","112","0","0","0","0","0"
"1723589062-78","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris McCullough","BKN","21","24","362","0","0","0","0","0"
"1723589062-79","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chris Paul","LAC","31","74","2420","0","0","2","0","2"
"1723589062-80","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Christian Wood","PHI","20","17","145","0","0","0","0","0"
"1723589062-81","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Chuck Hayes","LAC","33","2","24","0","0","0","0","0"
"1723589062-82","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cleanthony Early","NYK","25","17","154","0","0","0","0","0"
"1723589062-83","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cliff Alexander","POR","20","8","36","0","0","0","0","0"
"1723589062-84","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Clint Capela","HOU","22","77","1471","3","0","8","3","11"
"1723589062-85","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cody Zeller","CHA","23","73","1774","0","0","0","0","0"
"1723589062-86","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cole Aldrich","LAC","27","60","800","0","0","10","0","10"
"1723589062-87","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Corey Brewer","HOU","30","82","1669","1","0","4","6","10"
"1723589062-88","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cory Jefferson","PHX","25","8","50","0","0","0","0","0"
"1723589062-89","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cory Joseph","TOR","24","80","2046","0","0","0","0","0"
"1723589062-90","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Coty Clarke","BOS","23","3","6","0","0","0","0","0"
"1723589062-91","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Courtney Lee","CHA","30","79","2334","0","0","0","0","0"
"1723589062-92","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Cristiano Felicio","CHI","23","31","321","0","0","0","0","0"
"1723589062-93","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","D'Angelo Russell","LAL","20","80","2259","0","0","0","0","0"
"1723589062-94","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","D.J. Augustin","DEN","28","62","1178","0","0","0","0","0"
"1723589062-95","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Dahntay Jones","CLE","35","1","42","0","0","0","0","0"
"1723589062-96","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Damian Lillard","POR","25","75","2676","0","0","0","0","0"
"1723589062-97","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Damien Inglis","MIL","21","20","156","0","0","0","0","0"
"1723589062-98","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Damjan Rudez","MIN","30","33","277","0","0","0","0","0"
"1723589062-99","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Danilo Gallinari","DEN","27","53","1839","3","0","5","2","7"
"1723589062-100","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Danny Green","SAS","29","79","2062","0","0","3","1","4"
"1723589062-101","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Dante Cunningham","NOP","29","80","1971","1","0","4","1","5"
"1723589062-102","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Darrell Arthur","DEN","28","70","1516","1","0","7","2","9"
"1723589062-103","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Darren Collison","SAC","28","74","2219","0","0","0","0","0"
"1723589062-104","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Darrun Hilliard","DET","23","38","383","0","0","0","0","0"
"1723589062-105","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","David Lee","DAL","33","55","903","5","0","13","2","15"
"1723589062-106","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","David West","SAS","35","78","1404","1","0","3","1","4"
"1723589062-107","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","DeAndre Jordan","LAC","27","77","2598","1","0","5","0","5"
"1723589062-108","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","DeJuan Blair","WAS","27","29","218","0","0","0","0","0"
"1723589062-109","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","DeMar DeRozan","TOR","26","78","2804","0","0","0","0","0"
"1723589062-110","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","DeMarcus Cousins","SAC","25","65","2246","0","0","0","0","0"
"1723589062-111","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","DeMarre Carroll","TOR","29","26","786","0","0","0","0","0"
"1723589062-112","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Delon Wright","TOR","24","27","229","0","0","0","0","0"
"1723589062-113","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Dennis Schroder","ATL","22","80","1621","0","0","1","0","1"
"1723589062-114","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Deron Williams","DAL","32","65","2106","1","0","1","1","2"
"1723589062-115","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Derrick Favors","UTA","24","62","1983","0","0","0","0","0"
"1723589062-116","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Derrick Rose","CHI","27","66","2097","0","0","0","0","0"
"1723589062-117","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Derrick Williams","NYK","25","80","1435","1","0","2","1","3"
"1723589062-118","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Devin Booker","PHX","19","76","2108","0","0","0","0","0"
"1723589062-119","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Devin Harris","DAL","33","64","1280","3","0","6","2","8"
"1723589062-120","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Devyn Marble","ORL","23","28","249","0","0","0","0","0"
"1723589062-121","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Dewayne Dedmon","ORL","26","58","705","0","0","0","0","0"
"1723589062-122","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Dion Waiters","OKC","24","78","2152","0","0","0","0","0"
"1723589062-123","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Dirk Nowitzki","DAL","38","75","2364","5","0","14","6","20"
"1723589062-124","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Donald Sloan","BKN","28","61","1318","0","0","0","0","0"
"1723589062-125","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Donatas Motiejunas","HOU","25","37","547","0","0","0","0","0"
"1723589062-126","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Doug McDermott","CHI","24","81","1861","1","0","2","1","3"
"1723589062-127","https://www.nba.com/stats/players/hustle?SeasonType=Regular+Season&PerMode=Totals&Season=2015-16","","Draymond Green","GSW","26","81","2808","8","0","16","7","23"
